countryshort,Population,countrylong,healthpercgdp
AD,84000,AND,10.36772767
AE,4975593,ARE,3.51684955
AF,29121286,AFG,10.19867734
AG,86754,ATG,4.30900835
AI,13254,AIA,
AL,2986952,ALB,6.69789475
AM,2968000,ARM,9.92732109
AN,300000,,
AO,13068161,AGO,2.87782524
AQ,0,ATA,
AR,41343201,ARG,7.54838404
AS,57881,ASM,0.0
AT,8205000,AUT,10.43762567
AU,21515754,AUS,9.25209201
AW,71566,ABW,0.0
AX,26711,ALA,
AZ,8303512,AZE,6.89059972
BA,4590000,BIH,9.22955617
BB,285653,BRB,6.96244846
BD,156118464,BGD,2.36505997
BE,10403000,BEL,10.03841793
BF,16241811,BFA,6.75254452
BG,7148785,BGR,8.23011604
BH,738004,BHR,4.86947429
BI,9863117,BDI,6.19156298
BJ,9056010,BEN,3.85561779
BL,8450,BLM,
BM,65365,BMU,0.0
BN,395027,BRN,2.3409551
BO,9947418,BOL,6.86056405
BQ,18012,BES,
BR,201103330,BRA,11.77150303
BS,301790,BHS,6.37542177
BT,699847,BTN,3.45418055
BV,0,BVT,
BW,2029307,BWA,5.46320154
BY,9685000,BLR,6.31679395
BZ,314522,BLZ,6.12137415
CA,33679000,CAN,10.53465477
CC,628,CCK,
CD,70916439,COD,3.87116143
CF,4844927,CAF,4.28252151
CG,3039126,COG,4.63481785
CH,7581000,CHE,12.24760438
CI,21058798,CIV,4.40362075
CK,21388,COK,
CL,16746491,CHL,8.52893972
CM,19294149,CMR,4.6902491
CN,1330044000,CHN,4.98188075
CO,47790000,COL,5.91234407
CR,4516220,CRI,7.55572353
CS,10829175,,
CU,11423000,CUB,12.19122021
CV,508659,CPV,5.23696219
CW,141766,CUW,0.0
CX,1500,CXR,
CY,1102677,CYP,6.87966475
CZ,10476000,CZE,7.14959908
DE,81802257,DEU,11.13916763
DJ,740528,DJI,3.50192451
DK,5484000,DNK,10.35004017
DM,72813,DMA,5.30393975
DO,9823821,DOM,6.16130052
DZ,34586184,DZA,6.648475
EC,14790608,ECU,8.38714107
EE,1291170,EST,6.68368438
EG,80471869,EGY,4.63781726
EH,273008,ESH,
ER,5792984,ERI,2.95931347
ES,46505963,ESP,8.97038932
ET,88013491,ETH,3.97401588
FI,5244000,FIN,9.49305799
FJ,875983,FJI,3.46146795
FK,2638,FLK,
FM,107708,FSM,12.56300745
FO,48228,FRO,0.0
FR,64768389,FRA,11.53929503
GA,1545255,GAB,3.11291313
GB,62348447,GBR,9.7623484
GD,107818,GRD,5.24666501
GE,4630000,GEO,8.43609722
GF,195506,GUF,
GG,65228,GGY,
GH,24339838,GHA,4.44871433
GI,27884,GIB,0.0
GL,56375,GRL,0.0
GM,1593256,GMB,4.43153755
GN,10324025,GIN,5.47827339
GP,443000,GLP,
GQ,1014999,GNQ,3.37653274
GR,11000000,GRC,8.45429347
GS,30,SGS,
GT,13550440,GTM,5.82031093
GU,159358,GUM,0.0
GW,1565126,GNB,6.09011769
GY,748486,GUY,4.24328719
HK,6898686,HKG,0.0
HM,0,HMD,
HN,7989415,HND,8.40196647
HR,4284889,HRV,7.18008037
HT,9648924,HTI,5.38571841
HU,9982000,HUN,7.36479381
ID,242968342,IDN,3.12449094
IE,4622917,IRL,7.37830423
IL,7353985,ISR,7.31441124
IM,75049,IMN,0.0
IN,1173108018,IND,3.65833057
IO,4000,IOT,
IQ,29671605,IRQ,3.31216318
IR,76923300,IRN,8.10277065
IS,308910,ISL,8.29151473
IT,60340328,ITA,8.93549301
JE,90812,JEY,
JM,2847232,JAM,6.0723917
JO,6407085,JOR,5.46821058
JP,127288000,JPN,10.92612327
KE,40046566,KEN,4.54957525
KG,5776500,KGZ,6.62528772
KH,14453680,KHM,6.08196009
KI,92533,KIR,11.85986702
KM,773407,COM,7.63108978
KN,51134,KNA,5.67183165
KP,22912177,PRK,0.0
KR,48422644,KOR,7.33752488
KW,2789132,KWT,3.903945
KY,44270,CYM,0.0
KZ,15340000,KAZ,3.52614962
LA,6368162,LAO,2.36087478
LB,4125247,LBN,8.01673185
LC,160922,LCA,5.30656361
LI,35000,LIE,0.0
LK,21513990,LKA,3.89324108
LR,3685076,LBR,9.61511081
LS,1919552,LSO,8.0765782
LT,2944459,LTU,6.67158258
LU,497538,LUX,6.16378558
LV,2217969,LVA,6.24292955
LY,6461454,LBY,0.0
MA,33848242,MAR,5.83767147
MC,32965,MCO,1.74986203
MD,4324000,MDA,8.98095464
ME,666730,MNE,7.64204428
MF,35925,MAF,0.0
MG,21281844,MDG,6.00363747
MH,65859,MHL,23.28730052
MK,2062294,MKD,6.34410858
ML,13796354,MLI,3.81961944
MM,53414374,MMR,5.08779798
MN,3086918,MNG,3.8090161
MO,449198,MAC,0.0
MP,53883,MNP,0.0
MQ,432900,MTQ,
MR,3205060,MRT,4.2410152
MS,9341,MSR,
MT,403000,MLT,9.29531092
MU,1294104,MUS,5.745666
MV,395650,MDV,10.61083995
MW,15447500,MWI,9.83034233
MX,112468855,MEX,5.46900124
MY,28274729,MYS,3.80219497
MZ,22061451,MOZ,5.0661965
NA,2128471,NAM,9.12250271
NC,216494,NCL,0.0
NE,15878271,NER,6.22894111
NF,1828,NFK,
NG,154000000,NGA,3.64671499
NI,5995928,NIC,8.74635494
NL,16645000,NLD,10.35932019
NO,5009150,NOR,10.50063009
NP,28951852,NPL,6.29441655
NR,10065,NRU,11.10191475
NU,2166,NIU,
NZ,4252277,NZL,9.22193561
OM,2967717,OMN,4.29254957
PA,3410676,PAN,7.26068297
PE,29907003,PER,5.14391365
PF,270485,PYF,0.0
PG,6064515,PNG,1.97579249
PH,99900177,PHL,4.38594904
PK,184404791,PAK,2.75283024
PL,38500000,POL,6.51647873
PM,7012,SPM,
PN,46,PCN,
PR,3916632,PRI,0.0
PS,3800000,PSE,0.0
PT,10676000,PRT,9.07636096
PW,19907,PLW,11.68764783
PY,6375830,PRY,8.02487617
QA,840926,QAT,3.07944355
RE,776948,REU,
RO,21959278,ROU,4.98040299
RS,7344847,SRB,9.13502874
RU,140702000,RUS,5.27112755
RW,11055976,RWA,6.76069372
SA,25731776,SAU,5.74181331
SB,559198,SLB,5.17074913
SC,88340,SYC,3.93610353
SD,35000000,SDN,5.6648529
SE,9828655,SWE,10.93479344
SG,4701069,SGP,4.46958366
