timestamp MST,North America flights,Europe flights
2020-03-22 14:21:30,3378,508
2020-03-22 14:24:40,3352,505
2020-03-22 15:56:40,3117,358
2020-03-22 15:57:20,3083,355
2020-03-22 15:58:20,3081,351
2020-03-22 16:02:40,3118,325
2020-03-22 23:15:20,780,275
2020-03-23 07:29:10,1934,646
2020-03-23 10:00:10,2355,578
2020-03-23 19:23:40,2131,119
2020-03-24 09:14:00,2514,511
2020-03-24 09:31:50,2552,491
2020-03-24 19:23:10,2079,99
2020-03-25 08:43:20,2223,519
2020-03-25 16:07:40,2531,260
2020-03-25 20:09:20,1784,116
2020-03-26 09:24:40,2479,505
2020-03-26 16:26:40,2426,235
2020-03-26 23:01:50,753,217
2020-03-27 08:34:30,2026,498
2020-03-28 11:22:00,2099,282
2020-03-28 12:06:00,2192,216
2020-03-28 22:39:59,585,156
2020-03-29 10:39:30,2036,313
2020-03-29 13:09:50,2096,210
2020-03-29 22:35:10,612,171
2020-03-30 08:08:00,1810,337
2020-03-30 18:35:40,1797,59
2020-03-31 08:59:30,1924,332
2020-03-31 14:08:10,2195,210
2020-03-31 16:49:40,1941,133
2020-03-31 19:50:30,1477,109
2020-03-31 23:25:20,489,216
2020-04-01 09:01:10,2046,338
2020-04-01 16:17:20,2194,158
2020-04-02 07:27:30,1491,347
2020-04-02 23:59:00,437,244
2020-04-03 10:22:39,1942,276
2020-04-03 19:11:10,1480,57
2020-04-04 09:23:09,1691,281
2020-04-04 12:24:30,1813,176
2020-04-04 12:34:20,1766,162
2020-04-05 12:06:10,1802,212
2020-04-06 08:36:10,1671,324
2020-04-06 09:14:50,1732,280
2020-04-06 22:34:00,578,159
2020-04-07 10:42:40,1963,248
2020-04-07 16:59:10,1604,99
2020-04-08 08:35:09,1641,378
2020-04-08 12:00:40,1957,240
2020-04-08 16:54:00,1613,105
2020-04-09 09:18:20,1640,344
2020-04-09 12:02:00,1759,227
2020-04-09 12:20:40,1680,231
2020-04-09 17:28:00,1427,91
2020-04-12 12:14:30,1261,173
2020-04-12 14:32:00,1272,114
2020-04-14 08:41:50,1783,299
2020-04-14 14:44:50,1834,176
2020-04-14 17:02:50,1617,105
2020-04-15 08:59:00,1688,319
2020-04-15 09:26:10,1673,303
