Date,Country/Region,Province/State,province-lat,province-lon,Confirmed,Recovered,Deaths,continent,country-lat,country-lon,countryshort,continent-lat,continent-lon,Active
2020-01-22,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-01-23,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-01-24,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-01-25,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-01-26,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-01-27,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-01-28,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-01-29,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-01-30,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-01-31,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-02-01,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-02-02,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-02-03,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
2020-02-04,Afghanistan,[Afghanistan],33.0,65.0,0.0,0.0,0.0,Asia,33.93911,67.709953,AF,45.0,80.0,0.0
