countrylong,HealthExpprocGDP
ABW,
AFG,10.19867734
AGO,2.87782524
ALB,6.69789475
AND,10.36772767
ARB,4.887915232
ARE,3.51684955
ARG,7.54838404
ARM,9.92732109
ASM,
ATG,4.30900835
AUS,9.25209201
AUT,10.43762567
AZE,6.89059972
BDI,6.19156298
BEL,10.03841793
BEN,3.85561779
BFA,6.75254452
BGD,2.36505997
BGR,8.23011604
BHR,4.86947429
BHS,6.37542177
BIH,9.22955617
BLR,6.31679395
BLZ,6.12137415
BMU,
BOL,6.86056405
BRA,11.77150303
BRB,6.96244846
BRN,2.3409551
BTN,3.45418055
BWA,5.46320154
CAF,4.28252151
CAN,10.53465477
CEB,6.67777417
CHE,12.24760438
CHI,
CHL,8.52893972
CHN,4.98188075
CIV,4.40362075
CMR,4.6902491
COD,3.87116143
COG,4.63481785
COL,5.91234407
COM,7.63108978
CPV,5.23696219
CRI,7.55572353
CSS,6.128926495
CUB,12.19122021
CUW,
CYM,
CYP,6.87966475
CZE,7.14959908
DEU,11.13916763
DJI,3.50192451
DMA,5.30393975
DNK,10.35004017
DOM,6.16130052
DZA,6.648475
EAP,4.777763009
EAR,4.990122295
EAS,6.639368197
ECA,5.213777011
ECS,9.377728932
ECU,8.38714107
EGY,4.63781726
EMU,10.217269
ERI,2.95931347
ESP,8.97038932
EST,6.68368438
ETH,3.97401588
EUU,9.929343946
FCS,5.004693558
FIN,9.49305799
FJI,3.46146795
FRA,11.53929503
FRO,
FSM,12.56300745
GAB,3.11291313
GBR,9.7623484
GEO,8.43609722
GHA,4.44871433
GIB,
GIN,5.47827339
GMB,4.43153755
GNB,6.09011769
GNQ,3.37653274
GRC,8.45429347
GRD,5.24666501
GRL,
GTM,5.82031093
GUM,
GUY,4.24328719
HIC,12.5861705
HKG,
HND,8.40196647
HPC,5.407040275
HRV,7.18008037
HTI,5.38571841
HUN,7.36479381
IBD,5.54694268
IBT,5.459137997
IDA,4.291301725
IDB,3.870976731
IDN,3.12449094
IDX,4.702685292
IMN,
IND,3.65833057
INX,
IRL,7.37830423
IRN,8.10277065
IRQ,3.31216318
ISL,8.29151473
ISR,7.31441124
ITA,8.93549301
JAM,6.0723917
JOR,5.46821058
JPN,10.92612327
KAZ,3.52614962
KEN,4.54957525
KGZ,6.62528772
KHM,6.08196009
KIR,11.85986702
KNA,5.67183165
KOR,7.33752488
KWT,3.903945
LAC,8.590668604
LAO,2.36087478
LBN,8.01673185
LBR,9.61511081
LBY,
LCA,5.30656361
LCN,8.558310043
LDC,4.317578677
LIC,5.3777448
LIE,
LKA,3.89324108
LMC,3.956672398
LMY,5.419452973
LSO,8.0765782
LTE,5.785490402
LTU,6.67158258
LUX,6.16378558
LVA,6.24292955
MAC,
MAF,
MAR,5.83767147
MCO,1.74986203
MDA,8.98095464
MDG,6.00363747
MDV,10.61083995
MEA,5.583164355
MEX,5.46900124
MHL,23.28730052
MIC,5.42001962
MKD,6.34410858
MLI,3.81961944
MLT,9.29531092
MMR,5.08779798
MNA,6.120913035
MNE,7.64204428
MNG,3.8090161
MNP,
MOZ,5.0661965
MRT,4.2410152
MUS,5.745666
MWI,9.83034233
MYS,3.80219497
NAC,16.58004702
NAM,9.12250271
NCL,
NER,6.22894111
NGA,3.64671499
NIC,8.74635494
NLD,10.35932019
NOR,10.50063009
NPL,6.29441655
NRU,11.10191475
NZL,9.22193561
OED,12.5863211
OMN,4.29254957
OSS,4.830675596
PAK,2.75283024
PAN,7.26068297
PER,5.14391365
PHL,4.38594904
PLW,11.68764783
PNG,1.97579249
POL,6.51647873
PRE,4.237286451
PRI,
PRK,
PRT,9.07636096
PRY,8.02487617
PSE,
PSS,5.270473623
PST,13.00221949
PYF,
QAT,3.07944355
ROU,4.98040299
RUS,5.27112755
RWA,6.76069372
SAS,3.553253755
SAU,5.74181331
SDN,5.6648529
SEN,5.51241197
SGP,4.46958366
SLB,5.17074913
SLE,16.53171514
SLV,6.95775683
SMR,6.39562063
SOM,
SRB,9.13502874
SSA,5.157123142
SSD,
SSF,5.155991777
SST,5.038519339
STP,5.99199802
SUR,6.06415279
SVK,7.12513052
SVN,8.46829514
SWE,10.93479344
SWZ,7.69694547
SXM,
SYC,3.93610353
SYR,
TCA,
TCD,4.5381013
TEA,4.777917351
TEC,5.419749964
TGO,6.61568574
THA,3.71143463
TJK,6.99849461
TKM,6.61802128
TLA,8.495637507
TLS,4.02059179
TMN,6.120913035
TON,5.26385403
TSA,3.553253755
TSS,5.155991777
TTO,6.5104014
TUN,6.95195517
TUR,4.3143198
TUV,15.45402053
TZA,4.13992059
UGA,6.16503174
UKR,6.72703787
UMC,5.854028787
URY,9.06075776
USA,17.07341533
UZB,6.33520937
VCT,3.56292208
VEN,3.21708435
VGB,
VIR,
VNM,5.65919354
VUT,3.69175091
WLD,10.02127141
WSM,5.53209386
XKX,
YEM,
ZAF,8.1098146
ZMB,4.47720737
ZWE,9.41366844
